seed: https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/lightup.html#14x14b20s2d2%23330534519588771
game_id: https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/lightup.html#14x14:dBdB2d0c0b0cBjB1fBb2f0BBb1e2dBaBe2aBc1aBbBb1hBb1b1a2c3a1eBa0d2e2bB1Bf0b2f0Bj3c1b0c0dBBd1d

-1, -1, -1, -1, -2, -1, -1, -1, -1, -2, 2, -1, -1, -1
-1, 0, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -2, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -2, 1, -1, -1, -1
-1, -1, -1, -2, -1, -1, 2, -1, -1, -1, -1, -1, -1, 0
-2, -2, -1, -1, 1, -1, -1, -1, -1, -1, 2, -1, -1, -1
-1, -2, -1, -2, -1, -1, -1, -1, -1, 2, -1, -2, -1, -1
-1, 1, -1, -2, -1, -1, -2, -1, -1, 1, -1, -1, -1, -1
-1, -1, -1, -1, -2, -1, -1, 1, -1, -1, 1, -1, 2, -1
-1, -1, 3, -1, 1, -1, -1, -1, -1, -1, -2, -1, 0, -1
-1, -1, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, -2, 1
-2, -1, -1, -1, -1, -1, -1, 0, -1, -1, 2, -1, -1, -1
-1, -1, -1, 0, -2, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, 3, -1, -1, -1, 1, -1, -1, 0, -1, -1, -1, 0, -1
-1, -1, -1, -2, -2, -1, -1, -1, -1, 1, -1, -1, -1, -1
