seed: https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/lightup.html#10x10b20s2d2%23625454092535372
game_id: https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/lightup.html#10x10:cBBi1g00aBaBc1cBk3d0k1c1c1aBa21gBi00c

-1,-1,-1,-2,-2,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1,-1,-1,-1
-1,-1,0,0,-1,-2,-1,-2,-1,-1
-1,1,-1,-1,-1,-2,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,3,-1,-1
-1,-1,0,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1,-1,1,-1
-1,-1,1,-1,-2,-1,2,1,-1,-1
-1,-1,-1,-1,-1,-2,-1,-1,-1,-1
-1,-1,-1,-1,-1,0,0,-1,-1,-1

