seed: https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/lightup.html#20x20b20s0d2%23221239921827117
game_id: https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/lightup.html#20x20:a01a1dBcBb1bBa1eBb4f0iBaBaBhBf10d0aBe2b1mBaBaBb1eBcBe3a0cBb0f0eBcBaBc3cB1aBc0Bf2B1l1l0fBc00iBb3aBf1c2hBa1c2aBa1Bd2Bf1b3cBe1eBdBdBBaBfBb0b1a0a00c2d1b1u0aBaBBi0d1b1BBBa2BBbBBBb0BBcB

-1, 0, 1, -1, 1, -1, -1, -1, -1, -2, -1, -1, -1, -2, -1, -1, 1, -1, -1, -2
-1, 1, -1, -1, -1, -1, -1, -2, -1, -1, 4, -1, -1, -1, -1, -1, -1, 0, -1, -1
-1, -1, -1, -1, -1, -1, -1, -2, -1, -2, -1, -2, -1, -1, -1, -1, -1, -1, -1, -1
-2, -1, -1, -1, -1, -1, -1, 1, 0, -1, -1, -1, -1, 0, -1, -2, -1, -1, -1, -1
-1, 2, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2, -1
-2, -1, -2, -1, -1, 1, -1, -1, -1, -1, -1, -2, -1, -1, -1, -2, -1, -1, -1, -1
-1, 3, -1, 0, -1, -1, -1, -2, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1
-1, -1, -1, -2, -1, -1, -1, -2, -1, -2, -1, -1, -1, 3, -1, -1, -1, -2, 1, -1
-2, -1, -1, -1, 0, -2, -1, -1, -1, -1, -1, -1, 2, -2, 1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0, -1, -1, -1, -1, -1, -1, -2, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1
-1, -1, -2, -1, -1, 3, -1, -2, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 2, -1
-1, -1, -1, -1, -1, -1, -1, -2, -1, 1, -1, -1, -1, 2, -1, -2, -1, 1, -2, -1
-1, -1, -1, 2, -2, -1, -1, -1, -1, -1, -1, 1, -1, -1, 3, -1, -1, -1, -2, -1
-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -2, -1, -1, -1, -1, -2, -1, -1, -1, -1
-2, -2, -1, -2, -1, -1, -1, -1, -1, -1, -2, -1, -1, 0, -1, -1, 1, -1, 0, -1
0, 0, -1, -1, -1, 2, -1, -1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -2, -1, -2
-2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 1, -1, -1, 1, -2
-2, -2, -1, 2, -2, -2, -1, -1, -2, -2, -2, -1, -1, 0, -2, -2, -1, -1, -1, -2
