seed: -
game_id: https://www.chiark.greenend.org.uk/~sgtatham/puzzles/js/lightup.html#14x14:bBBb1d2bB1lB1eBd1aBaB02bBaBi2Be1f2a3aBg3b2nBb2gBaBaBf0eBBi1a1b2B0aBaBd0eBBlBBbBd2b10b

-1, -1, -2, -2, -1, -1, 1, -1, -1, -1, -1, 2, -1, -1
-2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-2, 1, -1, -1, -1, -1, -1, -2, -1, -1, -1, -1, 1, -1
-2, -1, -2, 0, 2, -1, -1, -2, -1, -2, -1, -1, -1, -1
-1, -1, -1, -1, -1, 2, -2, -1, -1, -1, -1, -1, 1, -1
-1, -1, -1, -1, -1, 2, -1, 3, -1, -2, -1, -1, -1, -1
-1, -1, -1, 3, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, -2, -1, -1, 2, -1, -1, -1
-1, -1, -1, -1, -2, -1, -2, -1, -2, -1, -1, -1, -1, -1
-1, 0, -1, -1, -1, -1, -1, -2, -2, -1, -1, -1, -1, -1
-1, -1, -1, -1, 1, -1, 1, -1, -1, 2, -2, 0, -1, -2
-1, -2, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -2, -2
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2, -2
-1, -1, -2, -1, -1, -1, -1, 2, -1, -1, 1, 0, -1, -1
-1, -1, -2, -1, -1, -1, -1, 2, -1, -1, 1, 0, -1, -1
